y,x,z
67.9492,20.3601,-31
68.050278,21.974167,-30
67.75138,19.98553,-29
67.64705,21.06531667,-25
67.849050,20.537566,-22
67.8418,20.4743,-22
67.8634,20.2304,-21
66.072039,22.741594,-18
65.91843,22.64877,-14
63.4557,18.0978,-13
63.428913,18.425519,-13
65.851130,23.123256,-13
65.67743056,21.00234722,-13
64.94653,19.38115,-13
63.014444,17.799444,-12
65.66892,20.95386,-12
65.8639,22.3083,-12
63.29136,18.55939,-11
65.617378,22.134852,-11
65.808619,21.767547,-10
65.0957,17.1284,-10
65.54998,21.84690,-10
64.57375,18.681527,-10
65.34468,21.12661,-10
65.4757,21.9670,-9
63.312218,18.785849,-9
62.0705,12.3042,-9
62.541485,12.543754,-9
63.1732,17.5176,-9
62.6918983,12.7334003,-8
63.3276,16.6130,-8
64.111611,19.55155,-8
64.37664,19.39578,-8
64.752298,20.937317,-8
63.451754,16.903237,-8
64.623855,16.659550,-8
62.5804,17.1075,-7
63.1755,14.6727,-7
61.17779,12.98780,-7
63.4251,14.4693,-7
63.23968,18.35650,-7
64.0403,19.661517,-7
63.162497,16.261458,-7
62.405433756151,14.402626210572,-7
63.5187,14.5234,-7
62.6536,14.1692,-6
61.0083,14.5464,-6
63.3910,13.8613,-6
62.0729,17.2427,-6
60.7104,15.2950,-6
63.17371,14.60090,-6
62.376037,17.277879,-6
63.185764,14.654268,-6
63.2752,18.6891,-6
64.5199,20.6573,-6
63.3275,14.4572,-6
62.759461,15.425796,-6
62.46336,14.86808,-6
62.3495,17.0444,-6
62.89962,17.76591,-6
63.2447,14.5689,-6
62.9372,17.7405,-6
63.3171,14.844083,-6
62.032513,14.365475,-6
62.51047222,17.39614444,-6
61.22831,14.04038,-6
62.2982,17.3929,-6
61.3072,15.5055,-6
61.1062,16.6930,-6
62.89679,15.12085,-6
62.4257,17.4314,-5
62.393514,17.284204,-5
60.5327755,15.1624526,-5
61.362415,16.389117,-5
60.93565972,13.35988334,-5
61.1742,15.1488,-5
62.64396,17.68915,-5
62.5344,17.3926,-5
63.39747,12.86150,-5
60.723063,16.584270,-5
61.006852,14.543991,-5
61.984872,17.386813,-5
63.629283,19.914602,-5
61.710000000000,16.637800000000,-5
61.393466765527,16.043436581221,-5
60.510118,14.235449,-5
62.4075,16.6760,-5
61.730192,17.103722,-5
60.5964861,15.7605372,-4
60.4942,15.4246,-4
60.495528672421,15.420314475677,-4
60.02358,14.63059,-4
62.6372,17.9589,-4
60.1357,15.1803,-4
60.1219,15.1930,-4
61.2538,16.5434,-4
60.2871,15.9827,-4
60.592388,15.655850,-4
60.83425,15.01950,-4
60.442668,16.080078,-4
60.46678,15.38730,-4
60.6754,17.0797,-4
60.61081,15.61944,-4
60.72443,17.17342,-4
63.271372,18.769602,-4
60.043517,14.720568,-4
61.296111,17.1225,-4
60.6756,15.8426,-4
60.423,15.443,-4
60.1510,15.3688,-4
60.4978,15.3826,-4
57.531614,18.289037,-3
63.819614,20.310762,-3
64.00449,20.39268,-3
60.16619,17.16504,-3
63.90604,20.55430,-3
59.706667,15.102778,-3
60.002041,15.800159,-3
60.65171,17.32994,-3
60.52053,15.54608,-3
63.8461514,20.3188632,-3
63.84603,20.30133,-3
60.202183,16.301633,-3
59.8664,15.0483,-3
59.3406,14.9405,-3
59.987,15.0118,-3
63.80837,20.19819,-3
59.516,15.042,-2
56.8358,13.9272,-2
59.624444,16.508333,-2
59.61653,16.40875,-2
63.8190,20.2366,-2
59.530808722006,14.278391026857,-2
59.417854321639,16.085333379017,-2
58.658503,16.157844,-2
59.62922,16.23492,-2
57.468393,18.305068,-2
59.450000,14.880000,-2
59.721764,17.767518,-2
59.9501,16.6171,-2
58.914636996794,11.921525103676,-2
59.8107,16.6373,-2
59.923362268324,16.402161191665,-2
58.383333,15.516667,-1
58.6905,16.3415,-1
59.7757,18.7003,-1
57.8300,13.1048,-1
57.68021,13.05785,-1
57.7080,14.3284,-1
59.66402,12.57734,-1
59.952324297123,17.529158592224,-1
59.6738,16.8376,-1
58.6111,16.2446,-1
59.42069,16.11086,-1
59.4506,16.3384,-1
59.5272,15.2985,-1
59.2050,18.1974,-1
60.350296,17.513194,-1
59.875568,17.537202,-1
57.73075,12.90688,-1
59.485963,15.83582,-1
59.1814,14.8837,-1
59.891796,17.645293,-1
58.282562,15.449416,-1
58.6621,15.9992,-1
57.743118,16.641314,-1
59.38231,15.83900,-1
59.17092,18.18701,-1
57.165556,15.3515,-1
58.65178,12.05487,-1
58.56819,12.05965,-1
59.3996,13.5696,-1
59.3200,15.9031,-1
59.35358,16.53316,-1
58.42506,16.00876,-1
58.185264,16.010009,-1
58.816730722847,15.095325167740,-1
57.63732,14.70929,-1
57.551944,15.426944,-1
59.35275,15.85884,-1
59.308986,14.49112,-1
58.8688,16.0711,-1
59.965487,18.898375,-1
59.66773,16.88899,-1
59.5708,16.5238,-1
57.910105555555,14.093655555555,-1
56.798175,14.984694,-1
59.131241,15.142908,-1
58.420580289905,15.498696997523,-1
59.183841,17.81123,-1
59.311209,18.702148,-1
58.20245,15.99692778,-1
59.6385002,18.9389992,-1
59.256802933607,15.199389511168,-1
58.512229,15.270440,-1
58.452180555555,15.918755555555,-1
58.709955,15.799083,-1
58.18,13.544167,-1
57.027040,16.502666,-1
59.761764,18.696556,-1
57.164111895963,14.785214202987,-1
59.0035,15.0508,-1
59.139983,15.540867,-1
59.841667,13.143889,-1
58.313002,15.714291,-1
57.6771,16.1670,-1
59.01809722,16.36851944,-1
57.278445788066,16.452295985234,-1
59.465838,15.376396,-1
60.02545,17.72803,-1
57.0592,15.0526,-1
58.4253,15.7797,-1
59.049977,17.865777,-1
57.7343,13.0112,-1
57.7,14.121389,-1
58.536217348249,15.060133257360,-1
58.3961,15.5407,-1
58.805111,16.779183,-1
59.3100,14.4756,-1
58.48968,13.24986,0
58.43958,11.294038,0
56.034640,14.150596,0
56.858513,12.645266,0
57.695145419010,11.680051723543,0
57.6971,11.9865,0
58.35497,12.40826,0
59.3252,18.0678,0
58.599826,16.161733,0
59.2389,17.9662,0
59.4025300000,17.947000000,0
59.253171623129,18.246462352035,0
58.293745920149,12.306833075433,0
59.847070,17.632020,0
56.871351,14.804324,0
57.600848,12.090047,0
57.5222,11.9470,0
59.5887,18.0308,0
56.686,16.327,0
57.1708,12.86375,0
55.4758,13.0406,0
58.4476,14.8962,0
57.924477,12.516802,0
55.6586,13.6350,0
57.687306,11.995364,0
56.040000,14.121300,0
59.2162,17.9275,0
58.4862,13.7726,0
55.5940,14.1803,0
57.5951,12.8791,0
59.12912,12.89223,0
55.53299,13.08285,0
59.398267,17.834960,0
56.747,16.364,0
58.3712,15.6821,0
57.150825,12.258973,0
59.484529,17.747658,0
57.8688,11.90626,0
56.9620,13.1521,0
58.4092,15.8596,0
59.80588,17.61087,0
58.043137,14.993101,0
57.1745,13.0630,0
59.3982,17.8166,0
57.94677,12.10927,0
57.58288,12.07608,0
56.71909,13.128931,0
58.38361,15.421806,0
59.527968,17.920372,0
57.5541,12.8070,0
56.807856,12.967718,0
56.204395,15.540042,0
56.325686,13.937176,0
59.276889,17.949711,0
59.31099,18.18946,0
55.819422,13.0353,0
56.880638,16.656869,0
58,3815,15,4383,0
56.19471,13.34301,0
58.068509,11.851472,0
58.99362,17.89292,0
57.85732,14.10955,0
58.7173,14.1335,0
59.27700,15.21509,0
58.6438,13.6994,0
58.938346,11.179187,0
57.99606,16.78440,0
56.67494,16.23845,0
58.38593,13.6468,0
57.932144,12.537949,0
55.72646,13.20398,0
57.784575,12.968043,0
57.787081,14.297286,0
57.61984,12.104620,0
58.3348,11.85455,0
56.192977,15.471662,0
57.69434,12.12660,0
58.259839,11.875426,0
58.6891,17.0445,0
58.3570,11.9955,0
59.4356,18.0605,0
57.886232,12.477638,0
58.18385,12.19731,0
59.256389,18.178056,0
57.812911,13.000278,0
57.6463,12.0392,0
57.9733,11.7792,0
55.58891,13.09795,0
58.54611,11.97791,0
57.62606,12.87443,0
58.4885,15.5270,0
57.92577,12.01363,0
56.162747,14.083026,0
55.5533905,13.1026096,0
58.571685,16.553067,0
59.61982,17.75206,0
57.175,12.470,0
58.1949,12.7820,0
58.1866,12.7147,0
55.54516,13.10421,0
57.8,12.4,0
57.98482,11.68957,0
55.59261,12.98017,0
57.99500,12.93268,0
58.56750,11.29839,0
58.43229,11.28282,0
58.4736,15.6397,0
56.165509,13.76993,0
57.374725,12.318634,0
59.3261,18.2649,0
57.542898,12.430649,0
57.7714,14.2605,0
57.9873,13.5325,0
57.3794,16.5825,0
57.688290,12.260334,0
55.60759,13.03922,0
56.966697,12.631609,0
59.27055,18.07830,0
59.3726,18.1871,0
58.376761,15.662916,0
58.2044,14.1739,0
55.92532,13.70665,0
59.760685449717,18.404996395111,0
57.9864,11.8301,0
59.49638,18.06475,0
59.369812,17.988562,0
56.67132,16.33457,0
55.79595,12.982998,0
55.5926,12.9503,0
58.316928,15.138857,0
59.328461,13.503727,0
57.754608,11.932908,0
58.408,13.276,0
56.024516,12.744427,0
55.9977000000,12.740000000,0
57.317916,13.893763,0
56.6903,16.3539,0
59.40701,13.59238,0
56.189483,14.069519,0
59.627982921135,17.077828044489,0
57.45014,12.04005,0
57.777535,12.285059,0
59.294297,18.08008,0
59.357048,17.905247,0
59.452675,17.960061,0
59.250472,18.533922,0
56.897459714395,12.476899066086,0
59.54065,18.084369,0
55.428833,13.798333,0
55.936094,14.301613,0
58.488138,16.941458,0
59.284538,17.116,0
58.4042,13.8212,0
57.0034,14.5134,0
58.18235,15.060266,0
56.883961659555,14.798738784909,0
59.038452,12.224157,0
59.070888,15.003738,0
57.30278,13.53810,0
55.43914,14.10994,0
55.827988,13.294833,0
58.214,11.928,0
59.63101,17.84597,0
56.644584515597,16.460638624931,0
58.393641,13.830638,0
57.69630,12.48531,0
56.66419,12.73171,0
55.754397341189,13.008787883362,0
57.658183,12.108461,0
55.5666656,13.1333332,0
59.356712,18.003201,0
56.056427,13.107247,0
56.667504860589,12.852071596155,0
59.20574722,17.63622778,0
55.942463,13.986611,0
56.4122,12.9306,0
58.89958,17.56108,0
57.4986,14.146822,0
58.011761,11.627568,0
56.46631667,13.02911111,0
56.980161,12.652569,0
57.8255,12.2825,0
55.96131,13.10017,0
59.3956,18.0335,0
55.772970477678,12.959253787994,0
59.0307,12.7181,0
